country,coordinates,location
US,"{'latitude': 34.021492, 'longitude': -118.34324}",CCA Hillcrest and Obama
US,"{'latitude': 38.752674, 'longitude': -122.02434}",Durst Organic Growers Farm
CA,"{'latitude': 56.704254, 'longitude': -121.111855}",FNHA_Blueberry_42D5
US,"{'latitude': 38.65948, 'longitude': -122.91531}",Frei Winery Lab
US,"{'latitude': 48.856144, 'longitude': -122.49092}",NWCAA - Meridian High School
US,"{'latitude': 37.366795, 'longitude': -121.83837}",Alum Rock (Pala Ave)
US,"{'latitude': 38.725582, 'longitude': -120.8039}",Chamberlain Street
US,"{'latitude': 34.19246, 'longitude': -118.16317}",Casitas &amp; Ventura
US,"{'latitude': 39.716995, 'longitude': -120.55627}",Whitehawk
US,"{'latitude': 37.652924, 'longitude': -122.483055}","pacifica, edgemar"
US,"{'latitude': 40.418488, 'longitude': -111.8902}",Cranberry Farms
US,"{'latitude': 38.09722, 'longitude': -120.8094}","Valley Springs, CA"
US,"{'latitude': 47.640057, 'longitude': -122.3045}",Montlake
US,"{'latitude': 34.108917, 'longitude': -118.26571}",CCA Auburn and Avenel
US,"{'latitude': 39.778137, 'longitude': -105.11771}",Fruitdale
US,"{'latitude': 43.29365, 'longitude': -72.485504}",High School - Outside
US,"{'latitude': 38.84163, 'longitude': -121.24881}","Lincoln, CA Ridgecrest Ct"
US,"{'latitude': 41.049175, 'longitude': -73.5512}",West Side Fire Station
US,"{'latitude': 38.62259, 'longitude': -90.31441}",MRH Elementary
US,"{'latitude': 37.82214, 'longitude': -122.2275}",Central Piedmont. Caperton Ave
US,"{'latitude': 40.36904, 'longitude': -79.86634}",rith
US,"{'latitude': 41.46205, 'longitude': -122.899185}",carb_smoke_scapcd_etna  hs3
US,"{'latitude': 37.54766, 'longitude': -122.23628}",RWS Seabrook Court bayline
US,"{'latitude': 37.792183, 'longitude': -121.9088}",Vista Tassajara
US,"{'latitude': 38.07087, 'longitude': -122.21457}","Harbour Towne, Glen Cove"
US,"{'latitude': 38.469227, 'longitude': -122.64945}",Marit-out Gene
US,"{'latitude': 48.37695, 'longitude': -120.18034}",MV Clean Air Ambassador @ Frost Road
US,"{'latitude': 37.560143, 'longitude': -122.34217}",525 El Cerrito
US,"{'latitude': 40.689323, 'longitude': -124.253265}",NC#128_Loleta_Wiyot Tribe
US,"{'latitude': 37.891804, 'longitude': -122.03113}",Terra Bella
US,"{'latitude': 40.43943, 'longitude': -79.7487}",PPT A06
US,"{'latitude': 38.47633, 'longitude': -121.484634}",John Still Middle School
US,"{'latitude': 44.029156, 'longitude': -123.11783}",Chambers
US,"{'latitude': 39.81304, 'longitude': -120.46906}","Ponderosa Ave, Portola Ca"
US,"{'latitude': 47.60486, 'longitude': -117.230415}",Painted Hills
US,"{'latitude': 34.06528, 'longitude': -118.436424}",Westwood - Glenmont
US,"{'latitude': 48.965336, 'longitude': -122.3081}",NWCAA - Nooksack Valley High School
US,"{'latitude': 45.429234, 'longitude': -84.94222}",Meadow Gate
US,"{'latitude': 40.786934, 'longitude': -111.73896}",Home Outside
US,"{'latitude': 39.258934, 'longitude': -119.967026}",TERC Upper
