country,coordinates,location
US,"{'latitude': 38.11238, 'longitude': -122.5131}",Crest Road Deck
US,"{'latitude': 34.120903, 'longitude': -118.123825}",San Marino Tennis Club
US,"{'latitude': 33.83753, 'longitude': -117.94826}",Anaheim Union High School District Office
US,"{'latitude': 37.814625, 'longitude': -122.227234}",Ashmount
US,"{'latitude': 39.01521, 'longitude': -122.88955}",CARB_SMOKE_LCAQMD_BVR_PRESCH
US,"{'latitude': 37.326412, 'longitude': -121.98215}",Kingdom of Arthur
US,"{'latitude': 33.458466, 'longitude': -117.66664}",Capistrano Beach
US,"{'latitude': 40.536064, 'longitude': -80.17964}",Benson home
CA,"{'latitude': 51.48579, 'longitude': -78.75276}",band office
US,"{'latitude': 37.31868, 'longitude': -122.03431}",Shelly Drive
US,"{'latitude': 37.79556, 'longitude': -121.91961}",Birch Tree Oasis
US,"{'latitude': 38.74849, 'longitude': -90.29861}",Blessed Teresa of Calcutta School
US,"{'latitude': 40.516006, 'longitude': -79.93311}",W. O'hara Township
US,"{'latitude': 38.2678, 'longitude': -122.71294}",McBrown
US,"{'latitude': 36.858067, 'longitude': -119.72782}",Jones
US,"{'latitude': 37.19602, 'longitude': -121.84057}",Scarsdale Place
US,"{'latitude': 34.079445, 'longitude': -118.11298}",SCAP_14
US,"{'latitude': 29.943491, 'longitude': -90.06983}",Downtown New Orleans
US,"{'latitude': 42.251183, 'longitude': -122.7906}",Jackson County Fire District 5
US,"{'latitude': 47.666977, 'longitude': -122.39336}",Ballard
US,"{'latitude': 34.256332, 'longitude': -118.754616}","Hillside Middle School, Simi Valley, CA"
US,"{'latitude': 38.004326, 'longitude': -121.624985}",Delta
US,"{'latitude': 30.25728, 'longitude': -93.27222}","Westlake, Louisiana"
MX,"{'latitude': 32.5234, 'longitude': -116.952484}",US Consulate Tijuana
CA,"{'latitude': 53.598698, 'longitude': -114.97123}",WCAS_Entwistle3
US,"{'latitude': 37.401047, 'longitude': -122.089935}",Rex Manor
US,"{'latitude': 42.263958, 'longitude': -122.815605}",BT_SO_PHX_OUTDR_09
US,"{'latitude': 34.27632, 'longitude': -118.68369}",VCAPCD SV
US,"{'latitude': 37.224884, 'longitude': -121.963264}",M&amp;M Cerro Chico Los Gatos
US,"{'latitude': 45.513184, 'longitude': -122.61304}",Silverhorn
US,"{'latitude': 40.510864, 'longitude': -80.07606}",ROCIS-z5g7-O
CA,"{'latitude': 45.99666, 'longitude': -77.441280}",AQSU-Petawawa-1
US,"{'latitude': 40.08223, 'longitude': -105.358086}",Boulder Heights
US,"{'latitude': 37.752125, 'longitude': -122.43994}",Maison du Vin et Fromage
US,"{'latitude': 37.059986, 'longitude': -119.16983}",Doe Hill
US,"{'latitude': 37.387596, 'longitude': -82.05022}",Lester's Fork
US,"{'latitude': 37.04941, 'longitude': -122.02668}",Blue Bonnet Lane
MX,"{'latitude': 32.317703, 'longitude': -115.24935}",AYUNTAMIENTO DE MEXICALI - COBACH NAYARIT
US,"{'latitude': 34.11383, 'longitude': -116.44937}",MDAQMD_MUSD-YVE
US,"{'latitude': 39.473034, 'longitude': -104.89981}",Deer Clover
US,"{'latitude': 29.741474, 'longitude': -99.7659}",Rodeo Drive
US,"{'latitude': 37.79482, 'longitude': -121.87547}",Bengali Street
US,"{'latitude': 40.657818, 'longitude': -80.30942}",PSR PA FLEX B2
US,"{'latitude': 37.450344, 'longitude': -122.23937}",230 Woodside Drive
US,"{'latitude': 34.22633, 'longitude': -118.05901}",CHARA W1
US,"{'latitude': 37.896217, 'longitude': -122.1807}",La Espiral
US,"{'latitude': 32.831882, 'longitude': -116.81355}",Alpine/Galloway Valley
CA,"{'latitude': 49.232388, 'longitude': -123.026764}",Kingsway &amp; Boundary
US,"{'latitude': 39.561, 'longitude': -105.023}",Wind Crest BT
US,"{'latitude': 40.78786, 'longitude': -111.732254}",Brigham Fork Circle
US,"{'latitude': 37.75838, 'longitude': -122.422386}",Valencia 20th
US,"{'latitude': 43.746655, 'longitude': -87.98601}",Plymouth I
US,"{'latitude': 34.53214, 'longitude': -117.23998}","Shasta Road, Apple Valley"
US,"{'latitude': 37.908234, 'longitude': -122.549126}",Lower Alcatraz Place
US,"{'latitude': 38.572388, 'longitude': -122.588425}",KC  outside
US,"{'latitude': 44.961143, 'longitude': -93.18576}",OpenAeros
US,"{'latitude': 38.914734, 'longitude': -120.01757}",Gardner Mtn - Shady
US,"{'latitude': 33.70096, 'longitude': -117.72836}",Speckled
US,"{'latitude': 37.346687, 'longitude': -79.211266}",Winsor Hills
MX,"{'latitude': 25.645615, 'longitude': -100.3372}",San Roberto International School Campus San Agustin
US,"{'latitude': 39.889465, 'longitude': -82.996895}",MORPC_25
US,"{'latitude': 33.601303, 'longitude': -117.8082}",Coastal Peak
US,"{'latitude': 37.733208, 'longitude': -122.42364}",St Mary's Park
CA,"{'latitude': 49.469376, 'longitude': -103.70854}",Goodwater Field Office
US,"{'latitude': 37.894917, 'longitude': -122.2764}",Contra Costa
CA,"{'latitude': 49.88504, 'longitude': -119.3497}",Black Mountain
US,"{'latitude': 39.922005, 'longitude': -104.95503}",Eastlake01
US,"{'latitude': 38.426624, 'longitude': -122.92807}",HGPbbm
US,"{'latitude': 38.294872, 'longitude': -122.49279}",El Verano West
US,"{'latitude': 32.767982, 'longitude': -97.035995}",GP001
US,"{'latitude': 37.7367, 'longitude': -122.41505}",Bernellsworth
US,"{'latitude': 38.545406, 'longitude': -121.46056}",OPAir
US,"{'latitude': 38.53594, 'longitude': -121.72197}",Mariposa Circle
US,"{'latitude': 40.69677, 'longitude': -80.30695}","Beaver, PA"
US,"{'latitude': 44.81537, 'longitude': -116.03464}",Mountain Budgie Bean
US,"{'latitude': 40.84815, 'longitude': -80.51075}",PET Darlington #2
US,"{'latitude': 37.420155, 'longitude': -122.24927}",KCAWOODS6
US,"{'latitude': 42.61712, 'longitude': -72.59629}",Country club road
US,"{'latitude': 38.095055, 'longitude': -122.19071}",Somerset/ Waterstone
US,"{'latitude': 48.310772, 'longitude': -116.46407}",Kaniksu Shores
US,"{'latitude': 35.3074, 'longitude': -80.7337}",UNC Charlotte McEniry4
US,"{'latitude': 37.406815, 'longitude': -121.89747}",Hazelnut
US,"{'latitude': 45.5743, 'longitude': -122.6433}",Morgan
US,"{'latitude': 37.583836, 'longitude': -122.36194}",Garage
US,"{'latitude': 46.021442, 'longitude': -121.289406}",Glenwood School
US,"{'latitude': 36.76274, 'longitude': -119.798676}",CCA Root Access Hackerspace #2
US,"{'latitude': 37.90177, 'longitude': -122.138794}",Kite Hill
US,"{'latitude': 40.55191, 'longitude': -122.16919}",Millville Elementary School
US,"{'latitude': 29.947346, 'longitude': -90.12832}",R&amp;R's house
US,"{'latitude': 45.729527, 'longitude': -121.48061}",Klickitat County Health Department
US,"{'latitude': 38.57543, 'longitude': -122.59172}",Foothill
US,"{'latitude': 42.499035, 'longitude': -73.88156}",Clean Air Coalition of Greater Ravena-Coeymans / Capital Region Air Justice Lab #5 (Selkirk) Info at: www.mediasanctuary.org
US,"{'latitude': 35.97109, 'longitude': -83.90441}",SEEED Knox
US,"{'latitude': 37.755627, 'longitude': -122.24205}",The Burrow
US,"{'latitude': 33.98597, 'longitude': -116.53965}",Mountain_View_Estates@Mission_Lakes
US,"{'latitude': 34.200146, 'longitude': -118.197235}",Central La Canada Flintridge
US,"{'latitude': 37.628807, 'longitude': -120.89965}",Empire
US,"{'latitude': 42.31716, 'longitude': -83.094154}",EC_Clark
US,"{'latitude': 37.032932, 'longitude': -122.00651}",Burl Road
CA,"{'latitude': 49.036102, 'longitude': -119.477844}",Osoyoos visitor centre
US,"{'latitude': 37.06933, 'longitude': -120.81642}",Pacheco High School
US,"{'latitude': 43.5337, 'longitude': -111.960945}",Dorothy
US,"{'latitude': 47.63767, 'longitude': -122.38723}","Magnolia, WA"
US,"{'latitude': 40.62664, 'longitude': -111.814255}",Virginia Hills drive
US,"{'latitude': 33.944595, 'longitude': -116.83035}",Air Monitroing Station
US,"{'latitude': 37.662003, 'longitude': -121.7258}",Winery
US,"{'latitude': 33.576565, 'longitude': -101.87511}",Tech Terrace 01 (Lubbock)
US,"{'latitude': 19.623238, 'longitude': -155.96786}",Kona Home Outdoors
US,"{'latitude': 43.463455, 'longitude': -121.694756}",KCPH Crescent
US,"{'latitude': 37.479572, 'longitude': -122.28443}",Brittan Heights La Mesa Dr
US,"{'latitude': 37.77372, 'longitude': -122.186386}",Rosie's House
US,"{'latitude': 37.422558, 'longitude': -122.1028}",Moldaw South
US,"{'latitude': 35.729736, 'longitude': -120.6742}",TFE - Trinchero Central Coast
US,"{'latitude': 38.5369, 'longitude': -121.55606}",F.I.R.E. 2024
US,"{'latitude': 38.32229, 'longitude': -122.48544}",Agua Caliente
US,"{'latitude': 36.83982, 'longitude': -119.834625}",Palazzo’D
US,"{'latitude': 42.47467, 'longitude': -70.9714}",DEPE351
US,"{'latitude': 39.74456, 'longitude': -105.09453}",Dudley St
US,"{'latitude': 29.723648, 'longitude': -95.42064}",Northeast West U
US,"{'latitude': 38.760204, 'longitude': -122.15165}",Yocha Dehe Wintun Nation
CA,"{'latitude': 54.78235, 'longitude': -127.15948}",ENV PA Saltos
US,"{'latitude': 38.921253, 'longitude': -121.22139}",N forty road
MX,"{'latitude': 22.889877, 'longitude': -109.90813}",AMC Medical Center
US,"{'latitude': 41.07105, 'longitude': -111.987564}",Layton 1100 W Hill Field Rd. powered by UTOPIA Fiber
CA,"{'latitude': 49.77379, 'longitude': -119.73628}",AQSU-C7ED
US,"{'latitude': 38.03008, 'longitude': -122.580956}",Mt Tallac Ct
US,"{'latitude': 35.42711, 'longitude': -78.812614}",Clean sure clean/Matthewsrd
US,"{'latitude': 37.552364, 'longitude': -122.28137}",Foster City Spinnaker Cove
US,"{'latitude': 35.034443, 'longitude': -120.547195}","1518 Trail View Place, Nipomo, CA  93444-6619"
US,"{'latitude': 42.5474, 'longitude': -83.222595}",Birmingham
US,"{'latitude': 33.769012, 'longitude': -118.078865}",SCSB_14
CA,"{'latitude': 43.269897, 'longitude': -79.97175}",DUNDAS
US,"{'latitude': 37.92835, 'longitude': -122.394745}",Near bay
US,"{'latitude': 45.561657, 'longitude': -122.682594}",Overlook @ The Perch
US,"{'latitude': 47.704334, 'longitude': -122.209335}",Juanita
US,"{'latitude': 34.97499, 'longitude': -78.94164}",Hope Mills Lake
US,"{'latitude': 38.405262, 'longitude': -120.77557}",Cassinelli Ranch Road
US,"{'latitude': 43.176613, 'longitude': -87.89051}","Bayside, WI"
US,"{'latitude': 37.692123, 'longitude': -121.87583}",Fairlands Park
CA,"{'latitude': 50.78681, 'longitude': -112.4638}",PAS_Bassano
US,"{'latitude': 41.413364, 'longitude': -92.916374}","Main St  Pella, Iowa"
US,"{'latitude': 37.491573, 'longitude': -120.859764}",SW Turlock
US,"{'latitude': 37.777813, 'longitude': -122.198685}",2600 Best Ave Outside
US,"{'latitude': 39.60088, 'longitude': -104.73798}",SRRanches
US,"{'latitude': 42.055035, 'longitude': -123.617035}",TAKILMA
US,"{'latitude': 40.542088, 'longitude': -79.93459}",West Indiana Township
US,"{'latitude': 19.608747, 'longitude': -155.96782}",LakoHouse
US,"{'latitude': 37.0837, 'longitude': -122.13436}",Empire/Pine Flat
US,"{'latitude': 40.65682, 'longitude': -119.35986}",BRC Tower in Gerlach NV
US,"{'latitude': 38.444996, 'longitude': -122.89957}",Green Valley Oasis
US,"{'latitude': 37.44699, 'longitude': -122.21643}",243
US,"{'latitude': 41.323833, 'longitude': -105.56584}",Laramie Middle School
US,"{'latitude': 44.934788, 'longitude': -123.02956}",Willamette Sparks Center
US,"{'latitude': 48.27758, 'longitude': -117.71302}",Chewelah Public Library-NETCHD
US,"{'latitude': 42.593098, 'longitude': -71.12893}",Martin Pond
US,"{'latitude': 38.241196, 'longitude': -122.64864}",719 Keokuk
US,"{'latitude': 47.04872, 'longitude': -122.93769}",ORCAA
US,"{'latitude': 30.66903, 'longitude': -98.07575}",South Oatmeal
US,"{'latitude': 34.45086, 'longitude': -118.51963}",AQMD_NASA_37
US,"{'latitude': 33.74202, 'longitude': -117.44635}",GE Office
US,"{'latitude': 41.80038, 'longitude': -123.374954}",SAFE-HappyCamp-HR
US,"{'latitude': 34.093456, 'longitude': -117.70546}",OHA_test
US,"{'latitude': 33.073666, 'longitude': -96.89765}",The Colony Standridge
US,"{'latitude': 37.645454, 'longitude': -122.11885}",Hayward West
US,"{'latitude': 46.60727, 'longitude': -120.44464}",Terrace Heights Elementary
US,"{'latitude': 38.04769, 'longitude': -122.54546}",Pacheco Valle
US,"{'latitude': 33.793907, 'longitude': -116.96797}",SJUSD-SJHS-Pool
US,"{'latitude': 37.070023, 'longitude': -121.95988}",Bohnen Road
US,"{'latitude': 33.76107, 'longitude': -117.481445}",SCTV_45
US,"{'latitude': 40.74831, 'longitude': -111.84021}",Michigan Ave
US,"{'latitude': 37.365578, 'longitude': -122.299}",Djerassi Resident Artists Program
US,"{'latitude': 38.67713, 'longitude': -120.83917}",EDCAQMD Koki Ln.
US,"{'latitude': 38.959072, 'longitude': -77.33285}",1620 Bandit Loop
US,"{'latitude': 45.87106, 'longitude': -122.6749}",LC
US,"{'latitude': 37.403973, 'longitude': -122.19848}",Ladera Rec
US,"{'latitude': 33.684814, 'longitude': -117.72861}",Irvine
US,"{'latitude': 45.5428, 'longitude': -122.7474}",53rd Drive
US,"{'latitude': 38.882996, 'longitude': -123.0559}",Rosati Vineyards
CA,"{'latitude': 49.240967, 'longitude': -124.803215}",Cyril’Place
US,"{'latitude': 45.51662, 'longitude': -122.473465}",NCA Rockwood Village
US,"{'latitude': 48.8255, 'longitude': -118.6507}",StorybookMountainRanchMaloWA
US,"{'latitude': 40.039227, 'longitude': -105.2689}",Parkside
US,"{'latitude': 37.362408, 'longitude': -122.10136}",Valley View Tito
US,"{'latitude': 37.545204, 'longitude': -122.29749}",Bay Meadows
CA,"{'latitude': 49.70868, 'longitude': -123.12059}",Mossy Rocks Rock
US,"{'latitude': 45.474007, 'longitude': -122.70476}",Upper Multnomah Village
US,"{'latitude': 37.81265, 'longitude': -122.19595}",WSG
US,"{'latitude': 38.71321, 'longitude': -120.94451}",Rancho Ponderosa
MX,"{'latitude': 29.132936, 'longitude': -110.95183}",Cumbres
MX,"{'latitude': 20.694925, 'longitude': -100.468124}",(52:28) JMD
US,"{'latitude': 47.59761, 'longitude': -120.81819}",Cabin
US,"{'latitude': 37.957817, 'longitude': -122.274086}",Olinda Road
US,"{'latitude': 39.242733, 'longitude': -121.00093}",CCA Big Blue and Gracie
US,"{'latitude': 40.097954, 'longitude': -75.195045}",Free Library of Springfield Township
US,"{'latitude': 48.317516, 'longitude': -107.86223}",ML_Malta
US,"{'latitude': 45.922844, 'longitude': -120.672264}",Goldendale Labs
US,"{'latitude': 38.11482, 'longitude': -86.940926}","Santa Claus, Indiana"
US,"{'latitude': 33.93171, 'longitude': -112.083145}",New River
US,"{'latitude': 33.114075, 'longitude': -97.365974}",UNT-GEO-58
US,"{'latitude': 39.20987, 'longitude': -120.0992}",Fulton
US,"{'latitude': 33.794632, 'longitude': -118.09243}",Pattiz Avenue
US,"{'latitude': 42.245697, 'longitude': -70.95711}",North Weymouth 2 (FRRACS) King’s Cove
US,"{'latitude': 29.778414, 'longitude': -95.35952}",AAH NN Gentry
US,"{'latitude': 44.310143, 'longitude': -121.5892}",Pommel2
US,"{'latitude': 47.677647, 'longitude': -117.16864}",Ranger Run
US,"{'latitude': 39.383186, 'longitude': -119.815346}",Parisian court
US,"{'latitude': 37.93273, 'longitude': -122.03972}",BEE Patio
US,"{'latitude': 36.843327, 'longitude': -76.27942}",Harbor Park
US,"{'latitude': 35.817, 'longitude': -106.209}",Arbol Ct White Rock
US,"{'latitude': 35.992317, 'longitude': -115.12511}",Henderson
US,"{'latitude': 38.679905, 'longitude': -121.082115}",Parkview Heights
US,"{'latitude': 44.79908, 'longitude': -91.50087}",UWEC-1
US,"{'latitude': 38.293007, 'longitude': -76.48948}",EMS Front Left Sensor
US,"{'latitude': 42.089066, 'longitude': -71.629555}",Uxbridge BOH/Whitin Intermediate School
US,"{'latitude': 40.45019, 'longitude': -111.93361}",Bluffdale RRP
US,"{'latitude': 32.682343, 'longitude': -115.494675}",PURPLEAIR PA-II-SD CLX HSE
US,"{'latitude': 37.040337, 'longitude': -122.02553}",TurulKeble
US,"{'latitude': 37.785774, 'longitude': -122.20464}",Allendale Sunspot
US,"{'latitude': 44.02093, 'longitude': -121.33463}","Southwest Bend, OR"
US,"{'latitude': 41.174, 'longitude': -75.567}",Arrowhead Lakes Poconos [LDEO - Westervelt]
US,"{'latitude': 45.003338, 'longitude': -93.25568}",MplsLoganAQI
US,"{'latitude': 37.179832, 'longitude': -122.02993}",Skyline Goat Trail
US,"{'latitude': 40.220963, 'longitude': -105.255104}",Lyons
US,"{'latitude': 37.6555, 'longitude': -122.4775}",Imperial Park
US,"{'latitude': 37.930737, 'longitude': -122.069466}",Eccleston &amp; Sun Valley
US,"{'latitude': 40.877953, 'longitude': -111.869354}",Millcreek Way_1
US,"{'latitude': 48.328327, 'longitude': -122.010864}",Cavanaugh
US,"{'latitude': 41.19397, 'longitude': -111.9427}",Tracy Hall
US,"{'latitude': 48.486214, 'longitude': -113.367065}",Two Medicine Ranger Station
CA,"{'latitude': 52.82642, 'longitude': -119.26854}",Torg-0001
US,"{'latitude': 38.042538, 'longitude': -78.498634}",Preston Place
US,"{'latitude': 38.211765, 'longitude': -76.40064}",SRMS Right Side Sensor
US,"{'latitude': 34.212307, 'longitude': -119.02193}",Rancho Rosal Elementary School
US,"{'latitude': 33.99776, 'longitude': -117.4188}",Old_Test_3
US,"{'latitude': 38.56561, 'longitude': -122.557465}",Dunaweal Lane
US,"{'latitude': 35.55302, 'longitude': -105.93431}",Fonda Ct
MX,"{'latitude': 31.65894, 'longitude': -106.411766}",CJ11-L-01
US,"{'latitude': 35.63695, 'longitude': -105.98577}",Plaza Rojo
US,"{'latitude': 48.84111, 'longitude': -100.440895}",DCB Jacks
US,"{'latitude': 39.143032, 'longitude': -121.038956}","Carrie Drive, Grass Valley"
US,"{'latitude': 44.602146, 'longitude': -72.62728}","Hyde Park, VT"
CA,"{'latitude': 47.42356, 'longitude': -66.92538}",AQSU-8EE8
US,"{'latitude': 41.725204, 'longitude': -112.23634}",Tremonton 1000N 9000W powered by UTOPIA Fiber
US,"{'latitude': 38.6089, 'longitude': -121.470055}",301 Harding Ave
US,"{'latitude': 38.2623, 'longitude': -85.5388}","Anchorage, Kentucky - Maple Lane"
US,"{'latitude': 38.72148, 'longitude': -121.21549}",Private Home
US,"{'latitude': 37.789845, 'longitude': -122.148384}",WA6TYQ Tower
US,"{'latitude': 38.352825, 'longitude': -122.29837}",Boyd Family Vineyards
US,"{'latitude': 37.32555, 'longitude': -122.05785}",K6TD
US,"{'latitude': 37.428905, 'longitude': -121.803955}",unincorporated Santa Clara County
MX,"{'latitude': 25.658031, 'longitude': -100.34529}",Rio Tamuín
US,"{'latitude': 37.909946, 'longitude': -122.34203}",Breakers Marina Bay
US,"{'latitude': 44.886723, 'longitude': -67.019684}",Comstock Point
US,"{'latitude': 37.005974, 'longitude': -122.07281}",SCWS
US,"{'latitude': 38.603767, 'longitude': -121.42147}",ArdenAirQ1
US,"{'latitude': 35.78452, 'longitude': -119.26269}",Albany Park School
US,"{'latitude': 38.294228, 'longitude': -76.483215}",GHES Back Sensor
US,"{'latitude': 47.6676, 'longitude': -122.33961}",outside
US,"{'latitude': 38.324852, 'longitude': -122.50414}",Don Timoteo Court
US,"{'latitude': 48.05431, 'longitude': -122.17154}",Marysville 7th
US,"{'latitude': 33.022003, 'longitude': -97.22522}",UNT-GEO-68
US,"{'latitude': 37.550167, 'longitude': -119.64278}",CARB_Smoke_MCAPCD_Wawona
US,"{'latitude': 38.46686, 'longitude': -120.04677}","John Ebbetts, Bear Valley, CA"
US,"{'latitude': 30.266632, 'longitude': -91.21969}",Iberville
US,"{'latitude': 40.87273, 'longitude': -121.6639}",Norki Zyits
US,"{'latitude': 43.970165, 'longitude': -123.055786}",Maybloom North
US,"{'latitude': 39.183918, 'longitude': -96.594986}",Westview
US,"{'latitude': 37.26919, 'longitude': -121.98752}",Roundtree
US,"{'latitude': 35.264194, 'longitude': -120.70959}",VLV Air
US,"{'latitude': 35.2848, 'longitude': -82.688225}",CleanAIRENC - Pisgah Forest
US,"{'latitude': 37.22823, 'longitude': -122.05479}",Sanborn Park
US,"{'latitude': 38.273083, 'longitude': -122.67423}",Worker2
US,"{'latitude': 37.71314, 'longitude': -121.400345}",Amatchi
US,"{'latitude': 37.972504, 'longitude': -121.98304}",Chaban Dr
US,"{'latitude': 38.08987, 'longitude': -78.67822}",Crozet Farmhouse
US,"{'latitude': 38.46513, 'longitude': -121.38427}",Duncan's PurpleAir
CA,"{'latitude': 53.995934, 'longitude': -122.79671}",AQSU-9233
US,"{'latitude': 35.564346, 'longitude': -77.18161}",Clean Air Carolina &amp; ECU - GR Whitfield School
US,"{'latitude': 47.679783, 'longitude': -122.271866}",View Ridge
US,"{'latitude': 37.366974, 'longitude': -122.01723}",Gail Ave
US,"{'latitude': 39.965553, 'longitude': -105.160416}",Lark Ave - Louisville
US,"{'latitude': 47.63359, 'longitude': -122.278275}",2nd Floor Deck
US,"{'latitude': 37.7913, 'longitude': -122.14989}",GP
US,"{'latitude': 37.664124, 'longitude': -121.90175}",Petite Sirah
US,"{'latitude': 37.38427, 'longitude': -122.20244}",Alhambra
US,"{'latitude': 42.892796, 'longitude': -78.8093}",CACWNY_01
US,"{'latitude': 37.379654, 'longitude': -121.81301}",East Foothills
US,"{'latitude': 38.525105, 'longitude': -122.476494}",Fawn Park Estates
US,"{'latitude': 41.868732, 'longitude': -122.81636}",Klamath River Club
US,"{'latitude': 37.087032, 'longitude': -77.38828}",RadioPrinceGeorge
US,"{'latitude': 45.55093, 'longitude': -122.63391}",NE Regents Drive
US,"{'latitude': 64.83289, 'longitude': -147.9022}",Allen Adale Rd
US,"{'latitude': 33.094864, 'longitude': -97.1461}",UNT-GEO-57
US,"{'latitude': 37.882465, 'longitude': -122.25867}",BVW
US,"{'latitude': 33.8436, 'longitude': -118.099106}",CCA Clematis and Shadeway
US,"{'latitude': 45.28224, 'longitude': -123.01547}",Harvey Creek
US,"{'latitude': 39.54988, 'longitude': -105.015366}",Bitterroot Place
US,"{'latitude': 61.10959, 'longitude': -149.87827}",ANTHC-Johns Road Anchorage
US,"{'latitude': 48.0647, 'longitude': -121.93545}",Granite Falls Drop Box
MX,"{'latitude': 25.650322, 'longitude': -100.32849}",Liceo de Monterrey
US,"{'latitude': 48.818943, 'longitude': -122.38879}",NorthWest Therapeutic Riding Center
US,"{'latitude': 38.646454, 'longitude': -90.262794}","Central West End, St. Louis"
US,"{'latitude': 46.654808, 'longitude': -120.54264}",10th street
US,"{'latitude': 46.934563, 'longitude': -121.50078}",Crystal Summit
US,"{'latitude': 42.120163, 'longitude': -72.585144}",DEP9A9B
US,"{'latitude': 41.074944, 'longitude': -111.95793}",Layton King Elementary powered by UTOPIA Fiber
US,"{'latitude': 42.573586, 'longitude': -72.59616}",FRTA
US,"{'latitude': 39.36359, 'longitude': -121.24538}",CARB SMOKE FRAQMD YESCharter
US,"{'latitude': 39.484962, 'longitude': -118.75889}",WSMART100
US,"{'latitude': 40.03435, 'longitude': -105.2821}",Grape_and_Broadway
US,"{'latitude': 40.293507, 'longitude': -111.739006}",Orem Lakeside Sports Park North
US,"{'latitude': 34.095688, 'longitude': -118.15755}",USCEHC - Huntington/Main
US,"{'latitude': 40.522305, 'longitude': -111.92919}",Riverton
US,"{'latitude': 37.949493, 'longitude': -122.53703}",Marin Catholic
US,"{'latitude': 40.575317, 'longitude': -124.26306}","Ferndale, CA"
CA,"{'latitude': 49.796337, 'longitude': -119.52191}",Uplands2
US,"{'latitude': 37.28064, 'longitude': -122.11939}",Stevens Canyon
US,"{'latitude': 33.49478, 'longitude': -96.77178}","North Wall Street, Gunter"
US,"{'latitude': 37.862576, 'longitude': -122.225685}","Strathmoor Drive, Claremont Hills"
US,"{'latitude': 33.130417, 'longitude': -117.15757}",CSUSM Social and Behavioral Sciences Building
US,"{'latitude': 41.226124, 'longitude': -111.7369}",Falcon Crest
US,"{'latitude': 37.73332, 'longitude': -122.13488}",LeBrun Estates
US,"{'latitude': 37.5776, 'longitude': -122.31586}",North Shoreview on the Corner
US,"{'latitude': 40.048946, 'longitude': -105.280266}",Redwood &amp; Riverside
US,"{'latitude': 38.958454, 'longitude': -106.98805}",Rocky Mtn Biological Lab
US,"{'latitude': 36.724483, 'longitude': -119.701645}",Sunnyside 93727
US,"{'latitude': 44.81243, 'longitude': -85.73968}",Ramblewood
US,"{'latitude': 33.133472, 'longitude': -117.15422}",CSUSM University Services Building
US,"{'latitude': 37.27943, 'longitude': -121.97542}",Bees Knees
US,"{'latitude': 38.4064, 'longitude': -122.9221}",TnTFarms
US,"{'latitude': 40.9383, 'longitude': -74.0408}",Millbrook Road
CA,"{'latitude': 54.73985, 'longitude': -127.14191}",cleanairplan.ca-SmithersCarr
US,"{'latitude': 38.111565, 'longitude': -122.586464}",fox den
US,"{'latitude': 35.2532, 'longitude': -80.8579}",Clean Air Carolina Washington Heights
US,"{'latitude': 40.78727, 'longitude': -111.93189}",Rose Park-Rondongo-Outside
US,"{'latitude': 42.275253, 'longitude': -122.82029}",BT_SO_PHX_01
US,"{'latitude': 33.825176, 'longitude': -118.31842}",Plaza Del Amo and Washington
US,"{'latitude': 38.497, 'longitude': -121.41784}",Lindale North
US,"{'latitude': 35.03867, 'longitude': -80.83838}",Outside
US,"{'latitude': 38.730003, 'longitude': -121.23784}",Grimace
US,"{'latitude': 38.757187, 'longitude': -120.58382}",Ridgeway
US,"{'latitude': 42.53817, 'longitude': -82.93374}",Fraser MI
US,"{'latitude': 37.50888, 'longitude': -122.25506}",Cherry
US,"{'latitude': 37.242138, 'longitude': -121.92831}",Barbara Drive
US,"{'latitude': 47.579605, 'longitude': -122.02033}",Pine Lake Meadows
US,"{'latitude': 41.763565, 'longitude': -71.01933}",Fire Dept - Bullock
US,"{'latitude': 40.64664, 'longitude': -80.29439}",Trinity
US,"{'latitude': 32.07596, 'longitude': -94.52738}",Long Branch monitor
US,"{'latitude': 43.84786, 'longitude': -121.43234}",Caldera Springs
CA,"{'latitude': 53.52915, 'longitude': -114.00546}",TOWN OFFICE
US,"{'latitude': 35.564167, 'longitude': -84.246895}",Kahite
US,"{'latitude': 64.85901, 'longitude': -147.96252}",Fairbanks Lemon Ln
US,"{'latitude': 39.104435, 'longitude': -84.553116}",Meiser's
US,"{'latitude': 37.347836, 'longitude': -122.02438}",Cheshire Way
US,"{'latitude': 33.62101, 'longitude': -114.60628}",MDAQMD-PVUSD-PVH_2
US,"{'latitude': 37.89405, 'longitude': -122.18403}",59Compound
US,"{'latitude': 37.12985, 'longitude': -122.12196}",Huckleberry Woods
US,"{'latitude': 47.380432, 'longitude': -122.94082}",Twanoh Falls Beach Club
US,"{'latitude': 37.900024, 'longitude': -122.17643}",Las Palomas
CA,"{'latitude': 50.28057, 'longitude': -119.21143}",Lower Hartnell
US,"{'latitude': 34.17919, 'longitude': -118.09023}",Kinneloa Canyon
US,"{'latitude': 44.92594, 'longitude': -91.300835}",Lake Wissota
US,"{'latitude': 39.05056, 'longitude': -108.58096}",Scissors home
US,"{'latitude': 33.512897, 'longitude': -112.04247}",Camelback East
US,"{'latitude': 47.29118, 'longitude': -122.25504}",North Algona
US,"{'latitude': 38.804283, 'longitude': -77.54854}",Groveton Road
US,"{'latitude': 44.49042, 'longitude': -121.643}",House on Metolius
